mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__max_depth,param_rf__min_samples_split,param_rf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2858913421630859,0.031031069733363864,0.011156606674194335,0.0016392758798406254,2,2,100,"{'rf__max_depth': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9230769230769231,0.9230769230769231,0.9560439560439561,0.9340659340659341,0.945054945054945,0.9362637362637363,0.01281527888976988,47
0.5139617443084716,0.03749860808165693,0.019188308715820314,0.0030260051743205103,2,2,200,"{'rf__max_depth': 2, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.9560439560439561,0.9230769230769231,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9428571428571428,0.016150481820548422,42
0.2583961486816406,0.028562717011739267,0.012775802612304687,0.003034888876508183,2,3,100,"{'rf__max_depth': 2, 'rf__min_samples_split': 3, 'rf__n_estimators': 100}",0.945054945054945,0.9230769230769231,0.9560439560439561,0.945054945054945,0.9340659340659341,0.9406593406593406,0.011206636293610506,45
0.46101861000061034,0.03179419771404111,0.019034814834594727,0.0017784768755558396,2,3,200,"{'rf__max_depth': 2, 'rf__min_samples_split': 3, 'rf__n_estimators': 200}",0.9230769230769231,0.9230769230769231,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9362637362637363,0.01615048182054841,47
0.2276528835296631,0.01266346688912659,0.01470804214477539,0.005579727905142692,2,4,100,"{'rf__max_depth': 2, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.9560439560439561,0.9230769230769231,0.967032967032967,0.945054945054945,0.945054945054945,0.9472527472527472,0.014578570507056694,34
0.44118595123291016,0.025917753190535405,0.017275238037109376,0.0018159913222852684,2,4,200,"{'rf__max_depth': 2, 'rf__min_samples_split': 4, 'rf__n_estimators': 200}",0.9560439560439561,0.9230769230769231,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9428571428571428,0.016150481820548422,42
0.2599079132080078,0.022879988073003014,0.011242818832397462,0.00453882272461962,2,5,100,"{'rf__max_depth': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.945054945054945,0.9340659340659341,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9428571428571428,0.012815278889769889,42
0.4289081573486328,0.025988940453446043,0.021666860580444335,0.010490418969067555,2,5,200,"{'rf__max_depth': 2, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9560439560439561,0.9230769230769231,0.978021978021978,0.9340659340659341,0.9340659340659341,0.945054945054945,0.019657740461536594,40
0.2095256805419922,0.00614681759580851,0.008456754684448241,0.0010730967352361406,3,2,100,"{'rf__max_depth': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.945054945054945,0.9340659340659341,0.978021978021978,0.945054945054945,0.9340659340659341,0.9472527472527472,0.01615048182054841,34
0.49318466186523435,0.03028980950793366,0.02708287239074707,0.011496450289919222,3,2,200,"{'rf__max_depth': 3, 'rf__min_samples_split': 2, 'rf__n_estimators': 200}",0.967032967032967,0.945054945054945,0.967032967032967,0.945054945054945,0.9340659340659341,0.9516483516483516,0.01318681318681319,25
0.27910237312316893,0.0429428364356477,0.012704181671142577,0.002446134668250741,3,3,100,"{'rf__max_depth': 3, 'rf__min_samples_split': 3, 'rf__n_estimators': 100}",0.967032967032967,0.945054945054945,0.978021978021978,0.945054945054945,0.9340659340659341,0.9538461538461538,0.016150481820548422,19
0.567664623260498,0.01702321228146534,0.024480724334716798,0.007131734037675102,3,3,200,"{'rf__max_depth': 3, 'rf__min_samples_split': 3, 'rf__n_estimators': 200}",0.9560439560439561,0.9340659340659341,0.978021978021978,0.9340659340659341,0.9340659340659341,0.9472527472527472,0.01758241758241757,34
0.27940006256103517,0.023399902397313706,0.011543798446655273,0.003385715290213752,3,4,100,"{'rf__max_depth': 3, 'rf__min_samples_split': 4, 'rf__n_estimators': 100}",0.967032967032967,0.9340659340659341,0.967032967032967,0.945054945054945,0.9230769230769231,0.9472527472527472,0.01758241758241757,34
0.480655574798584,0.013127438939833235,0.015197372436523438,0.0019055284553211426,3,4,200,"{'rf__max_depth': 3, 'rf__min_samples_split': 4, 'rf__n_estimators': 200}",0.945054945054945,0.9340659340659341,0.967032967032967,0.945054945054945,0.9340659340659341,0.945054945054945,0.012037858406706946,40
0.25463094711303713,0.01569231732555104,0.009453964233398438,0.0014093900769831201,3,5,100,"{'rf__max_depth': 3, 'rf__min_samples_split': 5, 'rf__n_estimators': 100}",0.967032967032967,0.9340659340659341,0.978021978021978,0.945054945054945,0.9340659340659341,0.9516483516483516,0.017855029460738362,25
0.42639451026916503,0.018482609337897287,0.017114639282226562,0.0051134284924606735,3,5,200,"{'rf__max_depth': 3, 'rf__min_samples_split': 5, 'rf__n_estimators': 200}",0.9230769230769231,0.9340659340659341,0.967032967032967,0.9340659340659341,0.9340659340659341,0.9384615384615385,0.014906219743132446,46
0.20555243492126465,0.0146995613724325,0.009470319747924805,0.0015996020459794406,4,2,100,"{'rf__max_depth': 4, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.9560439560439561,0.9340659340659341,0.978021978021978,0.9560439560439561,0.9340659340659341,0.9516483516483516,0.01644684565614918,25
